channel_id,upload_playlist_id,video_id
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,a_51N4XXSjM
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,khu2dnYoMnI
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,Qs0v10GRZFQ
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,KmPMNJuWf_k
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,69ci7Av6FDI
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,VdfVzz6CoPk
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,u_216fw0kO8
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,x6JfJaPB50M
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,noDe_6GbpYw
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,AKNMwGSHCV8
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,a9QmD4j6BEU
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,AdKiQknBEVQ
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,CcalZZwt5tI
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,Dv4uusg4Bbc
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,YEpYmlXc8VM
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,q0I4wAayHHE
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,dN7Aam5-muM
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,kfEl3375_Q4
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,IO3I9xabdaU
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,7d9u3d6Xe-Q
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,STkonEU3SO8
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,mBf_zyaffsM
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,nI2T2E2AgM0
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,ZhrSUgXQsQ8
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,poUuFLsdRc8
UC6UTUmL5RbRPPRgnptAVu1g,UU6UTUmL5RbRPPRgnptAVu1g,LOLP-4qXrjQ
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,EyDNCj_IQPk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,JdtOmmN84bM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,lV_CnWAegKo
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,hQLctm9uJG8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,HQSsrHSNjRg
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,JdeMsG-0p64
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,HOwRtvk7PJI
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,D_WG5-sUk_Q
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,jOuwcYSmwgU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,eXqGy3FKuKU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,hmxYtL6syXM
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,7cWSRTEPdGg
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,0cAhmo7QYHY
